Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,8,22,466.1849517226219
2018,1,8,23,303.12283980846405
2018,1,8,24,34.49979054927826
2018,1,9,1,0.0
2018,1,9,2,0.0
2018,1,9,3,0.0
2018,1,9,4,0.0
2018,1,9,5,0.0
2018,1,9,6,0.0
2018,1,9,7,0.0
2018,1,9,8,0.0
2018,1,9,9,0.0
2018,1,9,10,0.0
2018,1,9,11,0.0
2018,1,9,12,0.0
2018,1,9,13,0.0
2018,1,9,14,0.0
2018,1,9,15,235.0448695719242
2018,1,9,16,420.3510212302208
2018,1,9,17,473.02705055475235
2018,1,9,18,464.41500186920166
2018,1,9,19,425.60419219732285
2018,1,9,20,427.3034124970436
2018,1,9,21,425.4883478283882
2018,1,9,22,488.87529891729355
2018,1,9,23,331.70876467227936
2018,1,9,24,38.40263928472996
2018,1,10,1,0.0
2018,1,10,2,0.0
2018,1,10,3,0.0
2018,1,10,4,0.0
2018,1,10,5,0.0
2018,1,10,6,0.0
2018,1,10,7,0.0
2018,1,10,8,0.0
2018,1,10,9,0.0
2018,1,10,10,0.0
2018,1,10,11,0.0
2018,1,10,12,0.0
2018,1,10,13,0.0
2018,1,10,14,0.0
2018,1,10,15,107.84802477806807
2018,1,10,16,253.06383794546127
2018,1,10,17,305.5205306112766
2018,1,10,18,318.513743519783
2018,1,10,19,299.98789367079735
2018,1,10,20,293.58448927104473
2018,1,10,21,282.45018132030964
2018,1,10,22,297.7220810353756
2018,1,10,23,207.28451631963253
2018,1,10,24,40.285621136426926
2018,1,11,1,0.0
2018,1,11,2,0.0
2018,1,11,3,0.0
2018,1,11,4,0.0
2018,1,11,5,0.0
2018,1,11,6,0.0
2018,1,11,7,0.0
2018,1,11,8,0.0
2018,1,11,9,0.0
2018,1,11,10,0.0
2018,1,11,11,0.0
2018,1,11,12,0.0
2018,1,11,13,0.0
2018,1,11,14,0.0
2018,1,11,15,152.13303349539638
2018,1,11,16,169.19087424874306
2018,1,11,17,216.44741968810558
2018,1,11,18,236.12300717830658
2018,1,11,19,309.7852266430855
2018,1,11,20,310.23922377824783
2018,1,11,21,313.69379884004593
2018,1,11,22,467.64466708898544
2018,1,11,23,323.75412851572037
2018,1,11,24,44.677006646990776
2018,1,12,1,0.0
2018,1,12,2,0.0
2018,1,12,3,0.0
2018,1,12,4,0.0
2018,1,12,5,0.0
2018,1,12,6,0.0
2018,1,12,7,0.0
2018,1,12,8,0.0
2018,1,12,9,0.0
2018,1,12,10,0.0
2018,1,12,11,0.0
2018,1,12,12,0.0
2018,1,12,13,0.0
2018,1,12,14,0.0
2018,1,12,15,290.4535648226738
2018,1,12,16,522.5609399676323
2018,1,12,17,562.4820128679276
2018,1,12,18,542.8522328734398
2018,1,12,19,524.358348608017
2018,1,12,20,533.7843703627586
2018,1,12,21,553.2063480615616
2018,1,12,22,560.1134610772133
2018,1,12,23,405.09947043657303
2018,1,12,24,48.827119598165154
2018,1,13,1,0.0
2018,1,13,2,0.0
2018,1,13,3,0.0
2018,1,13,4,0.0
2018,1,13,5,0.0
2018,1,13,6,0.0
2018,1,13,7,0.0
2018,1,13,8,0.0
2018,1,13,9,0.0
2018,1,13,10,0.0
2018,1,13,11,0.0
2018,1,13,12,0.0
2018,1,13,13,0.0
2018,1,13,14,0.0
2018,1,13,15,282.3203146159649
2018,1,13,16,515.0216087698936
2018,1,13,17,557.00568151474
2018,1,13,18,537.7799812555313
2018,1,13,19,520.9339932799339
2018,1,13,20,529.6824392080307
2018,1,13,21,548.9083729982376
2018,1,13,22,557.8157466053963
2018,1,13,23,409.5788934826851
2018,1,13,24,53.50390096381307
2018,1,14,1,0.0
2018,1,14,2,0.0
2018,1,14,3,0.0
2018,1,14,4,0.0
2018,1,14,5,0.0
2018,1,14,6,0.0
2018,1,14,7,0.0
2018,1,14,8,0.0
2018,1,14,9,0.0
2018,1,14,10,0.0
2018,1,14,11,0.0
2018,1,14,12,0.0
2018,1,14,13,0.0
2018,1,14,14,0.0
2018,1,14,15,278.85596200823784
2018,1,14,16,500.7843353152275
2018,1,14,17,542.5271955728531
2018,1,14,18,523.9042606949806
2018,1,14,19,504.66179156303406
2018,1,14,20,512.7374936342239
2018,1,14,21,530.7088146805763
2018,1,14,22,533.7962614297867
2018,1,14,23,391.6021668314934
2018,1,14,24,54.29186375811696
2018,1,15,1,0.0
2018,1,15,2,0.0
2018,1,15,3,0.0
2018,1,15,4,0.0
2018,1,15,5,0.0
2018,1,15,6,0.0
2018,1,15,7,0.0
2018,1,15,8,0.0
2018,1,15,9,0.0
2018,1,15,10,0.0
2018,1,15,11,0.0
2018,1,15,12,0.0
2018,1,15,13,0.0
2018,1,15,14,0.0
2018,1,15,15,265.7885724902153
2018,1,15,16,478.5024407505989
2018,1,15,17,525.2744404673576
2018,1,15,18,509.9007303714752
2018,1,15,19,479.86030381917953
2018,1,15,20,486.6454843878746
2018,1,15,21,507.0083753466606
2018,1,15,22,352.7992935925722
2018,1,15,23,248.63665521889925
2018,1,15,24,50.58944893442094
