Year,Month,Day,Period,COPPER_SHEET
2018,1,9,7,33793.453
2018,1,9,8,34388.582
2018,1,9,9,35405.19
2018,1,9,10,37513.01
2018,1,9,11,41345.254
2018,1,9,12,45440.13
2018,1,9,13,45434.375
2018,1,9,14,44191.707
2018,1,9,15,42784.402
2018,1,9,16,41524.535
2018,1,9,17,40177.34
2018,1,9,18,39028.15
2018,1,9,19,38066.59
2018,1,9,20,37456.543
2018,1,9,21,37315.316
2018,1,9,22,37991.09
2018,1,9,23,40344.84
2018,1,9,24,41935.1
2018,1,10,1,41846.484
2018,1,10,2,41141.363
2018,1,10,3,39335.094
2018,1,10,4,36962.94
2018,1,10,5,34987.527
2018,1,10,6,33934.023
2018,1,10,7,33554.85
2018,1,10,8,33483.37
2018,1,10,9,33838.113
2018,1,10,10,35301.01
2018,1,10,11,38568.586
2018,1,10,12,42055.535
2018,1,10,13,42001.277
2018,1,10,14,41458.355
2018,1,10,15,41147.527
2018,1,10,16,40527.26
2018,1,10,17,39834.254
2018,1,10,18,39049.77
2018,1,10,19,38374.24
2018,1,10,20,37599.645
2018,1,10,21,37108.004
2018,1,10,22,37084.074
2018,1,10,23,39186.598
2018,1,10,24,40427.89
2018,1,11,1,39893.152
2018,1,11,2,39096.92
2018,1,11,3,37224.88
2018,1,11,4,34695.785
2018,1,11,5,32516.861
2018,1,11,6,31104.979
2018,1,11,7,30327.422
2018,1,11,8,29997.56
2018,1,11,9,30142.758
2018,1,11,10,31449.604
2018,1,11,11,34496.402
2018,1,11,12,37911.668
2018,1,11,13,38145.246
2018,1,11,14,37805.965
2018,1,11,15,37743.215
2018,1,11,16,37938.965
2018,1,11,17,38084.547
2018,1,11,18,38425.87
2018,1,11,19,39086.895
2018,1,11,20,39671.41
2018,1,11,21,40733.375
2018,1,11,22,42118.152
2018,1,11,23,44585.734
2018,1,11,24,46536.45
2018,1,12,1,47247.72
2018,1,12,2,47482.152
2018,1,12,3,46518.797
2018,1,12,4,44793.387
2018,1,12,5,43562.652
2018,1,12,6,43220.95
2018,1,12,7,43461.38
2018,1,12,8,44069.81
2018,1,12,9,45249.33
2018,1,12,10,47485.918
2018,1,12,11,51559.84
2018,1,12,12,55742.645
2018,1,12,13,55817.547
2018,1,12,14,54240.223
2018,1,12,15,52383.266
2018,1,12,16,50232.953
2018,1,12,17,47886.69
2018,1,12,18,45536.01
2018,1,12,19,43498.07
2018,1,12,20,41801.234
